name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,is_zone
,5861,2524845232,,80,,trunk,0,-112.2203857,33.5673926,,,,FALSE
,5862,1065089902,,80,,trunk,0,-112.2208045,33.5673203,,,,FALSE
,5863,2546270684,traffic_signals,95,signal,trunk,0,-112.168733,33.5239662,,,,FALSE
,5864,2546272842,,95,,primary,0,-112.1686132,33.5240555,,,,FALSE
,5865,5134981574,,97,,motorway,0,-112.0422555,33.5331075,,,,FALSE
,5866,42607313,motorway_junction,97,,motorway,0,-112.0437257,33.5280921,,,,FALSE
,5867,5134981573,,112,,motorway,0,-112.0438662,33.5047677,,,,FALSE
,5868,2297839585,,97,,motorway,0,-112.0435042,33.5292454,,,,FALSE
,5869,42631223,,97,,motorway,0,-112.0417417,33.5336001,,,,FALSE
,5870,41618710,traffic_signals,38,signal,primary,0,-111.999635,33.7410977,,,,FALSE
,5871,5144747096,,37,,primary,0,-112.0031904,33.7353123,,,,FALSE
,5872,41618722,,52,,primary,0,-112.0291539,33.694625,,,,FALSE
,5873,41544792,traffic_signals,52,signal,primary,0,-112.030964,33.6915307,,,,FALSE
,5874,4351377605,,52,,primary,0,-112.0313068,33.6884273,,,,FALSE
,5875,8427479312,,23,,primary,0,-111.9719504,33.785854,,,,FALSE
,5876,1926705488,traffic_signals,52,signal,primary,0,-112.025764,33.6992693,,,,FALSE
,5877,1926705491,traffic_signals,52,signal,primary,0,-112.025694,33.6993728,,,,FALSE
,5878,5158614995,,52,,primary,0,-112.02476,33.7007408,,,,FALSE
,5879,2557361108,,38,,primary,0,-111.9773492,33.7193876,,,,FALSE
,5880,5147305929,,38,,primary,0,-111.9726552,33.7095835,,,,FALSE
,5881,3143607743,traffic_signals,53,signal,primary,0,-111.973521,33.687978,,,,FALSE
,5882,3143609060,traffic_signals,53,signal,primary,0,-111.973571,33.6878971,,,,FALSE
,5883,4351397800,,53,,primary,0,-111.9742977,33.686717,,,,FALSE
,5884,5144822287,,38,,primary,0,-111.9774273,33.7274784,,,,FALSE
,5885,5144822286,,38,,primary,0,-111.9780732,33.7331982,,,,FALSE
,5886,2557997116,,21,,primary,0,-112.1270049,33.7838373,,,,FALSE
,5887,4139766025,,21,,primary,0,-112.1265975,33.7838409,,,,FALSE
,5888,2557997114,,21,,primary,0,-112.1260668,33.783849,,,,FALSE
,5889,2557997117,,21,,primary,0,-112.124297,33.7838613,,,,FALSE
,5890,41663320,,96,,primary,0,-112.1270925,33.5530802,,,,FALSE
,5891,1661858260,traffic_signals,96,signal,primary,0,-112.1295621,33.5530817,,,,FALSE
,5892,2327830282,,96,,primary,0,-112.1332616,33.5530978,,,,FALSE
,5893,2572069117,,96,,primary,0,-112.1126671,33.5530299,,,,FALSE
,5894,2572050644,traffic_signals,96,signal,primary,0,-112.112514,33.5530294,,,,FALSE
,5895,2572069119,,96,,primary,0,-112.1121542,33.5531853,,,,FALSE
,5896,2572054836,traffic_signals,96,signal,primary,0,-112.112356,33.5531858,,,,FALSE
,5897,2572069112,,96,,primary,0,-112.1126338,33.5531864,,,,FALSE
,5898,41663317,traffic_signals,96,signal,primary,0,-112.112918,33.5531859,,,,FALSE
,5899,4351281869,,96,,primary,0,-112.1137274,33.5531822,,,,FALSE
,5900,2572069102,,96,,primary,0,-112.1121857,33.5530284,,,,FALSE
,5901,2572050638,traffic_signals,96,signal,primary,0,-112.111937,33.5530259,,,,FALSE
,5902,986196951,,96,,primary,0,-112.112111,33.553422,,,,FALSE
,5903,256834759,,96,,primary,0,-112.1119454,33.5538027,,,,FALSE
,5904,41663314,,96,,primary,0,-112.1100303,33.5530992,,,,FALSE
,5905,2572108671,,96,,primary,0,-112.1111041,33.5531974,,,,FALSE
,5906,4346456455,,96,,primary,0,-112.0906432,33.5529794,,,,FALSE
,5907,2579003143,,96,,primary,0,-112.0864089,33.5529265,,,,FALSE
,5908,4346458081,,96,,primary,0,-112.1525656,33.5530546,,,,FALSE
,5909,3709728866,traffic_signals,96,signal,primary,0,-112.151598,33.5530982,,,,FALSE
,5910,4319176156,,95,,primary,0,-112.2044279,33.5527525,,,,FALSE
,5911,3811889065,,95,,primary,0,-112.2117503,33.5525875,,,,FALSE
,5912,2572527653,,95,,primary,0,-112.2018683,33.5527984,,,,FALSE
,5913,41663353,traffic_signals,95,signal,primary,0,-112.202757,33.552833,,,,FALSE
,5914,4347395722,,94,,primary,0,-112.2696537,33.5514335,,,,FALSE
,5915,2577716913,traffic_signals,94,signal,primary,0,-112.27031,33.5514194,,,,FALSE
,5916,3517014934,motorway_junction,94,,motorway,0,-112.2689088,33.5241455,,,,FALSE
,5917,3621221391,,94,,motorway,0,-112.2688095,33.5266659,,,,FALSE
,5918,2837207548,motorway_junction,94,,motorway,0,-112.2698267,33.5356326,,,,FALSE
,5919,3239094141,,94,,primary,0,-112.274566,33.5513228,,,,FALSE
,5920,3239094142,,94,,primary,0,-112.2759624,33.5512958,,,,FALSE
,5921,4022647706,,94,,primary,0,-112.2803748,33.5511981,,,,FALSE
,5922,4347924097,,94,,primary,0,-112.2804763,33.5511958,,,,FALSE
,5923,7430326930,,93,,primary,0,-112.3095748,33.5509083,,,,FALSE
,5924,5481840059,traffic_signals,94,signal,primary,0,-112.306989,33.5508844,,,,FALSE
,5925,42314013,,94,,primary,0,-112.300378,33.550908,,,,FALSE
,5926,2572151073,,96,,primary,0,-112.1533978,33.553094,,,,FALSE
,5927,4346458082,,95,,primary,0,-112.1597398,33.5530797,,,,FALSE
,5928,1562974171,,96,,primary,1,-112.1128548,33.5538061,,,,FALSE
,5929,986196948,,96,,primary,0,-112.1119821,33.5523683,,,,FALSE
,5930,4351281867,,96,,primary,0,-112.1120336,33.5524877,,,,FALSE
,5931,796454563,,82,,primary,0,-112.0408578,33.5572649,,,,FALSE
,5932,5151826750,,22,,primary,0,-112.0611784,33.7703222,,,,FALSE
,5933,2501822913,,22,,primary,0,-112.0597054,33.7685035,,,,FALSE
,5934,1963459179,,22,,primary,0,-112.0553918,33.7659132,,,,FALSE
,5935,2501822802,,37,,primary,0,-112.0130397,33.7465295,,,,FALSE
,5936,5100086086,,37,,primary,0,-112.0130472,33.7447473,,,,FALSE
,5937,5100086089,,37,,primary,0,-112.0130376,33.7429339,,,,FALSE
,5938,5100086091,,37,,primary,0,-112.0129373,33.7409423,,,,FALSE
,5939,5100086093,,37,,primary,0,-112.0122992,33.739358,,,,FALSE
,5940,5100086095,,37,,primary,0,-112.0110519,33.7378788,,,,FALSE
,5941,5100080429,,37,,primary,0,-112.0094633,33.7368632,,,,FALSE
,5942,2207528674,,37,,primary,0,-112.0075707,33.7360539,,,,FALSE
,5943,5100080432,,37,,primary,0,-112.0056149,33.7352127,,,,FALSE
,5944,5144772926,,37,,primary,0,-112.0046409,33.7348125,,,,FALSE
,5945,1198633488,,21,,primary,0,-112.0994331,33.798588,,,,FALSE
,5946,2580282895,,21,,primary,0,-112.0946364,33.8005591,,,,FALSE
,5947,9817940553,,21,,primary,0,-112.1080971,33.7985037,,,,FALSE
,5948,5144494552,,21,,primary,0,-112.084031,33.7990203,,,,FALSE
,5949,391213660,,97,,primary,0,-112.0611779,33.5526975,,,,FALSE
,5950,2580434337,,97,,primary,0,-112.0585133,33.5528819,,,,FALSE
,5951,4346530457,,97,,primary,0,-112.0729226,33.5527892,,,,FALSE
,5952,6902348295,,97,,primary,0,-112.0717471,33.5527772,,,,FALSE
,5953,2580429618,,97,,primary,0,-112.0579266,33.5529303,,,,FALSE
,5954,4347411988,,97,,primary,0,-112.0560314,33.5530522,,,,FALSE
,5955,4351687586,,97,,primary,0,-112.0517587,33.5532043,,,,FALSE
,5956,2580427937,,97,,primary,0,-112.0614022,33.5526916,,,,FALSE
,5957,41994455,,97,,primary,0,-112.0619159,33.5526938,,,,FALSE
,5958,3830842835,,97,,primary,0,-112.0620947,33.5526949,,,,FALSE
,5959,2687918433,traffic_signals,80,signal,primary,0,-112.168954,33.5674336,,,,FALSE
,5960,2600914001,traffic_signals,80,signal,primary,0,-112.168953,33.5675502,,,,FALSE
,5961,2600914004,,80,,primary,0,-112.1690131,33.5690269,,,,FALSE
,5962,4346488883,,95,,primary,0,-112.1687604,33.5268356,,,,FALSE
,5963,2587467149,,95,,primary,0,-112.1687647,33.52722,,,,FALSE
,5964,4351694314,,95,,primary,0,-112.1689643,33.5216617,,,,FALSE
,5965,4351694313,,95,,primary,0,-112.1687282,33.5199711,,,,FALSE
,5966,4351694312,,95,,primary,0,-112.1687489,33.5171318,,,,FALSE
,5967,2587479498,,95,,primary,0,-112.1688116,33.5210329,,,,FALSE
,5968,2590108158,,95,,primary,0,-112.1688068,33.5083544,,,,FALSE
