activity_zone_id,name,geometry,centroid,centroid_x,centroid_y,access_node_vector,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
11,A11,"POLYGON ((-111.77413999999999 33.80688,-111.77413999999999 33.85718,-111.69779999999999 33.85718,-111.69779999999999 33.80688,-111.77413999999999 33.80688))",POINT (-111.73596999999998 33.83203),-111.73596999999998,33.83203,,0,0,0,0,0,0,0,0.0,0.0
12,A12,"POLYGON ((-111.69779999999999 33.80688,-111.69779999999999 33.85718,-111.62145999999998 33.85718,-111.62145999999998 33.80688,-111.69779999999999 33.80688))",POINT (-111.65962999999999 33.83203),-111.65962999999999,33.83203,,0,0,0,0,0,0,0,0.0,0.0
13,A13,"POLYGON ((-111.62145999999998 33.80688,-111.62145999999998 33.85718,-111.54511999999998 33.85718,-111.54511999999998 33.80688,-111.62145999999998 33.80688))",POINT (-111.58328999999998 33.83203),-111.58328999999998,33.83203,,0,0,0,0,0,0,0,0.0,0.0
14,A14,"POLYGON ((-111.54511999999998 33.80688,-111.54511999999998 33.85718,-111.46877999999998 33.85718,-111.46877999999998 33.80688,-111.54511999999998 33.80688))",POINT (-111.4859734 33.81085435),-111.4859734,33.81085435,18114;18116,0,0,0,0,0,0,0,1000.0,1000.0
15,A15,"POLYGON ((-111.46877999999998 33.80688,-111.46877999999998 33.85718,-111.39243999999998 33.85718,-111.39243999999998 33.80688,-111.46877999999998 33.80688))",POINT (-111.43060999999997 33.83203),-111.43060999999997,33.83203,,0,0,0,0,0,0,0,0.0,0.0
16,B1,"POLYGON ((-112.5375424 33.75658,-112.5375424 33.80688,-112.4612024 33.80688,-112.4612024 33.75658,-112.5375424 33.75658))",POINT (-112.4993724 33.781729999999996),-112.4993724,33.781729999999996,,0,0,0,0,0,0,0,0.0,0.0
17,B2,"POLYGON ((-112.4612024 33.75658,-112.4612024 33.80688,-112.3848624 33.80688,-112.3848624 33.75658,-112.4612024 33.75658))",POINT (-112.421173 33.76844055),-112.421173,33.76844055,19639;25178;29004;29565;38002;43654;50792;89808;119776;152387,10,6,0,0,0,0,0,6.171918584256001,12.385041417523201
18,B3,"POLYGON ((-112.3848624 33.75658,-112.3848624 33.80688,-112.3085224 33.80688,-112.3085224 33.75658,-112.3848624 33.75658))",POINT (-112.33841542722058 33.767595102292276),-112.33841542722058,33.767595102292276,18554;18650;20300;20309;20674;21658;22833;22988;24216;25672;25765;26069;26211;26914;27690;27940;28172;28306;28326;28478;28616;28919;28931;29369;29928;31031;31988;31996;32469;32481;32600;32839;33866;33922;34039;34478;34925;34974;35197;35367;35385;36561;36566;36632;36677;37339;37498;37622;37904;37951;38021;38265;38333;38743;39361;39624;39761;40507;40758;41193;43597;43724;43822;43957;45531;45708;45868;46254;46532;46631;46929;47448;47896;48026;48262;48567;49675;50523;50826;50868;51804;52703;52712;53165;54137;54172;54775;55952;56172;56217;56371;57196;57495;57882;57964;58028;58328;58433;59091;59369;61239;61495;62037;62578;63180;63607;63763;63774;65003;65092;66181;66311;66506;66707;67482;69108;69955;70299;70658;71286;71378;71462;72361;72509;73469;75224;75571;75708;76079;76958;77036;77059;77951;78009;78249;78567;79034;80037;80054;80067;81764;81876;81954;81964;82842;84003;84285;84462;84559;84644;85694;85792;86231;86411;86775;86953;86986;87440;87556;88347;88381;88458;88621;89855;90018;90241;90373;90473;91486;92813;92917;92922;93421;94224;94395;94511;94814;94857;95386;95417;95636;96096;96582;97514;97724;97740;98608;98994;99242;99270;99295;99492;99696;100171;100309;100508;100636;101818;101878;102111;102243;102538;102617;102710;103024;103038;103566;103688;103803;104572;104628;105100;105634;105930;106626;106889;107103;107522;107615;107673;107946;108733;109563;109928;110507;112010;112560;113969;114259;114675;115090;115326;115434;115462;115611;115968;116218;116256;117006;117249;117674;117770;117876;118305;118324;118343;118501;118849;119179;119895;119951;121246;121857;122077;123148;123189;123279;123637;123677;123980;124379;124950;125015;126354;126517;126903;126938;127246;127286;127606;127892;128596;129215;129735;130153;130745;131827;132900;132933;133699;134496;134911;135404;135430;137075;137535;138281;139003;139410;140239;140335;140369;141117;141497;142153;142591;142692;143115;143173;143417;144225;146241;146615;146897;147347;147899;148003;148397;149376;149974;150176;150237;150701;150755;151846;152669;152989;153323;153764;154039;154190;154253;154371;154841;155177;155178;155377;155650;155884;156614;157514;157779;157907;158218;158296;158510;159065;159595;160166;160217;160741;161339;162813;163451;164139;164926;165237;165367;166378,349,2,0,0,0,0,0,1358.5423017811845,1360.7718090145156
19,B4,"POLYGON ((-112.3085224 33.75658,-112.3085224 33.80688,-112.2321824 33.80688,-112.2321824 33.75658,-112.3085224 33.75658))",POINT (-112.2487986 33.7998013),-112.2487986,33.7998013,114519,1,0,0,0,0,0,0,1.5144821932799999,1.5144821932799999
20,B5,"POLYGON ((-112.2321824 33.75658,-112.2321824 33.80688,-112.1558424 33.80688,-112.1558424 33.75658,-112.2321824 33.75658))",POINT (-112.21228002580646 33.76197219032259),-112.21228002580646,33.76197219032259,19778;22175;26088;28641;34182;54324;58960;64706;65889;74237;78197;78528;84275;85418;87137;100700;110373;112840;113208;115030;115188;115638;116660;121104;125204;125593;128092;150384;159908;164235;164640,31,29,0,0,0,0,0,7.898557451519999,31.866126182784004
21,B6,"POLYGON ((-112.1558424 33.75658,-112.1558424 33.80688,-112.0795024 33.80688,-112.0795024 33.75658,-112.1558424 33.75658))",POINT (-112.11328032090722 33.78874612859962),-112.11328032090722,33.78874612859962,16094;17399;19054;19268;19655;19976;20258;20707;21036;21842;22717;23118;23480;23763;24191;24262;24851;25504;26725;26860;27098;27237;27241;27305;28701;28994;29715;30222;31110;31280;31664;31867;32202;32473;32553;32584;32894;33109;33212;33902;34035;34588;35058;35113;35202;35270;35423;35769;35929;36095;36220;36483;36488;36503;36710;36859;36887;36903;37054;37118;37917;38023;38197;38232;38338;38393;38746;38815;39262;39457;39730;39766;39800;40337;40749;40779;40909;41591;41630;41713;42754;42810;42837;43126;43423;43579;43831;43954;44363;44472;44866;45256;45682;46172;46298;46326;46547;46577;46993;47184;47277;47345;47469;48546;48612;49008;49066;49475;49758;49812;50021;50216;50482;51465;51924;52028;52088;52377;52700;52775;53025;53283;53874;55867;55929;56421;56994;57143;57339;57470;57639;57879;58583;59114;59177;59207;59597;59779;60565;60692;60893;61249;61417;61467;62545;63173;63352;63542;63571;63673;63730;64104;64230;64303;64380;64777;65081;65579;65765;65967;67014;67172;67175;67864;67997;68040;68829;69409;69430;69452;69522;69837;70504;70512;70684;71127;71254;71498;71518;71531;71995;72145;72718;72954;73212;73770;74836;74881;75045;75059;75072;75885;76078;76157;76252;76316;76514;76700;76964;77077;77318;77359;77613;78656;78721;79130;79533;79650;80164;80237;80424;80592;81119;81279;81357;81422;81629;82701;84349;84601;84810;84860;85423;85657;85795;85820;85873;86073;86277;86862;87070;87174;87947;88379;88511;88668;88915;89334;89438;89477;89586;89599;89764;89871;90204;90423;92160;92276;92667;92780;92821;92994;93107;93362;93462;94229;94354;94985;94996;95215;95490;95932;95987;96103;96188;96319;96447;96878;97178;97800;97880;98275;98443;98535;99117;99161;99509;99738;100246;100438;100735;101039;101150;101215;101656;101826;101925;102095;102189;102528;102776;102894;102913;102979;103113;103401;103802;103884;103970;104172;104344;105175;106076;106423;106433;106434;106978;107154;107211;107235;107305;107909;108615;109077;109208;109464;110231;110292;110394;110637;110833;110890;110927;110992;111209;111333;111343;111397;111838;112001;112892;113249;113517;114500;114732;114983;115198;116807;117402;117856;117979;118076;118390;119094;119334;119459;119634;120379;120463;120538;120579;120877;121267;121413;121583;121720;121754;121921;121963;122102;122131;122224;122430;123053;123239;123248;123571;123732;124206;124218;124293;124361;124647;124830;124912;124921;125347;125420;125451;125513;125878;125885;126007;126244;126312;126516;127089;127290;127383;127738;127857;128258;128268;128420;128537;128649;128763;128938;129060;129091;129270;129744;129850;129873;130107;130722;130789;131244;131333;132527;133377;133539;133731;133839;134223;134352;134423;134627;134751;134798;134858;135005;135444;135842;136418;136759;136799;136981;137008;137316;137839;138702;138811;139475;139492;140310;140439;140609;140964;141150;141647;141921;142144;143071;143255;143939;144390;144843;145650;146019;146364;147562;147577;149074;149247;149775;149941;150495;150773;151320;151670;151798;151857;152085;152646;152920;153517;154111;154198;154503;154748;154960;155053;155455;155790;156231;156624;156723;156906;157045;157182;157304;158003;158678;158766;159102;159466;159503;160103;160485;161160;161374;161856;162344;162827;162864;162868;163195;163308;164450;164842;164987;165453;165740;165968;167466;167633,505,443,0,8,1,1,0,974.1588957638583,2856.4340615386145
22,B7,"POLYGON ((-112.0795024 33.75658,-112.0795024 33.80688,-112.0031624 33.80688,-112.0031624 33.75658,-112.0795024 33.75658))",POINT (-112.061430629661 33.79127458983052),-112.061430629661,33.79127458983052,19056;20569;20687;21885;22387;22487;23906;24843;25983;28221;30515;30667;30720;31543;33701;34667;36684;36732;37307;37556;37683;39320;40390;42092;44841;45073;45434;45590;46821;49568;49645;51004;53638;55159;55848;56793;57999;58153;61728;62575;65286;66136;66403;71679;72105;79468;82439;83207;83295;84838;84898;88913;91016;91274;91875;94191;94368;96487;98746;99055;99332;101209;103726;106009;107007;107672;109106;110449;110489;112529;112784;112902;114589;114780;115970;116419;117381;117942;120020;120418;121425;121757;122630;122818;123876;126376;127238;127337;128911;130217;131003;131376;133150;134741;135511;136225;137256;139363;139509;140923;142047;143688;143742;146161;146754;146874;148420;149737;149848;150932;150999;151143;151504;151898;151927;155007;158721;162828,118,25,0,0,0,0,0,414.0122857152,442.6280769301376
