index,value
168036,0.0
168037,0.0
168038,0.0
168039,39.121050233547415
168040,15.217334197711168
168041,1148.1387634061432
168042,1074.2989038722815
168043,469.4432254939805
168044,700.1966045157654
168045,158.84776092042344
168046,0.0
168047,0.0
168048,0.0
168049,965.8320135665178
168050,0.0
168051,0.0
168052,11.961869490391152
168053,1314.2769763050426
168054,1.4627353862462587
168055,30.77732481568301
168056,2758.8354612758267
168057,427.50436680251033
168058,1647.1348576120965
168059,679.195466975801
168060,100.04091221257373
168061,231.69208711677962
168062,0.0
168063,0.0
168064,0.0
168065,0.0
168066,1015.3842280111384
168067,999.6111360363441
168068,6309.2915659620685
168069,4235.42522838214
168070,2076.073848667348
168071,1988.7177319813327
168072,133.11887964023632
168073,1056.1646445203278
168074,774.814947000536
168075,721.8651111771563
168076,13.989135487468571
168077,0.03877756212294631
168078,0.0
168079,0.0
168080,0.0
168081,966.5358315171139
168082,4178.797947465619
168083,4941.877825432263
168084,5338.069934588266
168085,2846.7913692444226
168086,3160.3668025993707
168087,1794.086223864184
168088,2019.4646793073332
168089,2767.454038059606
168090,171.39064928264494
168091,28.993245074149808
168092,0.0
168093,0.0
168094,0.0
168095,0.0
168096,0.6350995362173699
168097,10090.956625847652
168098,5859.826045858381
168099,6252.995667563667
168100,4287.786318010962
168101,5479.551286866087
168102,7457.876479255197
168103,5340.198493071342
168104,6019.419574610293
168105,456.2945754723006
168106,214.03688140091654
168107,0.0
168108,0.0
168109,0.0
168110,0.0
168111,100.22575539073618
168112,7200.553371122276
168113,2528.8377738909335
168114,6426.029986466122
168115,6779.488870193546
168116,4692.791393774236
168117,7257.819326344125
168118,2543.9452625869326
168119,9154.602195223697
168120,1765.8373624369824
168121,755.3969320235959
168122,965.8320135665178
168123,0.0
168124,19.081783364558785
168125,0.0
168126,613.9159466089718
168127,3167.6262949049205
168128,3574.726376344155
168129,11539.107496281302
168130,8082.228339606985
168131,6219.349043761214
168132,11970.286271007917
168133,1540.920952562461
168134,3436.711386151062
168135,23.710056940065137
168136,2.705072832276308
168137,1.8359564265180475
168138,68.06127504849428
168139,0.0
168140,20.71335188991406
168141,1695.698774425171
168142,6098.272761054353
168143,5164.235020167958
168144,4978.692432013698
168145,6584.428033126558
168146,8810.6632861665
168147,22059.91066118036
168148,5276.365248019476
168149,3001.121575365912
168150,631.2978276905792
168151,1893.9314185473897
168152,3620.1470130807024
168153,223.44806057847518
168154,91.13943446015274
168155,0.2391109728760764
168156,2239.192943960761
168157,3616.236070924484
168158,2576.863878145366
168159,4661.221591318321
168160,2976.6125343080407
168161,5448.0739787721595
168162,12045.377793315714
168163,12158.834338545417
168164,4917.318508693322
168165,6080.734822177163
168166,5596.6124062209055
168167,10971.667733601898
168168,2849.3660122390593
168169,258.3652904017592
168170,3.611407380769192
168171,27.509197622929815
168172,864.7494492877196
168173,342.98061315537586
168174,352.71800207671305
168175,2110.4689640871616
168176,4364.307578390804
168177,4755.943178451528
168178,5746.525182664321
168179,7454.359057281663
168180,5343.587950489959
168181,6177.87793661398
168182,9046.647734527693
168183,3625.404666821998
168184,1118.688733204766
168185,1270.033773979577
168186,0.0
168187,83.84160122990679
168188,0.0
168189,0.0
168190,2433.7087862431595
168191,292.8764058318067
168192,1307.571930364944
168193,6372.924031969698
168194,6944.321161420566
168195,6977.9070109507475
168196,6882.481699432112
168197,1350.6412225671372
168198,2873.7270955853564
168199,44.27170851188321
168200,509.4499427710608
168201,0.0
168202,0.0
168203,0.0
168204,0.0
168205,149.63687356910071
168206,335.82086131390133
168207,663.9874685021615
168208,1563.4443849131783
168209,5375.218582197476
168210,4378.371909081167
168211,6251.13220447849
168212,2459.091556589488
168213,983.67509663095
168214,90.1816390718452
168215,990.966423383618
168216,0.0
168217,0.0
168218,0.0
168219,0.0
168220,0.0
168221,0.0
168222,4.486345618910522
168223,30.284964134143397
168224,2363.2689881797505
168225,6367.507076840509
168226,4565.31557317905
168227,2864.1851954785416
168228,3246.8454844768817
168229,840.1518332085969
168230,0.0
168231,0.0
168232,0.0
168233,0.0
168234,0.0
168235,0.0
168236,0.0
168237,0.0
168238,0.0
168239,15.148459841393603
168240,15.966084218949462
168241,0.0
168242,262.49760623500345
168243,3363.7562995936214
168244,268.98695328530897
168245,83.83542592912903
168246,0.0
168247,0.0
168248,0.0
168249,0.0
168250,0.0
168251,0.0
168252,965.8320135665178
168253,0.0
168254,45.65688877388358
168255,976.8747820616903
168256,969.4716984188619
168257,1.3150063895258655
168258,828.6698490446386
168259,533.3790669467976
168260,200.88648482952172
