index,value
168036,0.0
168037,0.0
168038,0.0
168039,41.9477876499008
168040,15.755673848
168041,1608.7268071336402
168042,1109.7338670505585
168043,463.650489081216
168044,687.4421859699772
168045,164.46727659590405
168046,0.0
168047,0.0
168048,0.0
168049,1000.0
168050,0.0
168051,0.0
168052,6.171918584256001
168053,1358.5423017811845
168054,1.51448219328
168055,7.898557451519999
168056,974.1588957638584
168057,414.0122857152
168058,1904.7220076923245
168059,244.065102334656
168060,103.58003338816002
168061,239.88859746035197
168062,0.0
168063,0.0
168064,0.0
168065,0.0
168066,1049.563178910529
168067,956.6694465759992
168068,4511.033876155783
168069,3353.061779901267
168070,1455.6411371475665
168071,2768.346372142047
168072,1064.830095878996
168073,417.7879425662084
168074,383.2211943197056
168075,747.40234433888
168076,14.484025473344
168077,0.2529411304896
168078,0.0
168079,0.0
168080,0.0
168081,1000.72871673408
168082,3227.164811125393
168083,5417.946207342808
168084,6362.420198807549
168085,2246.8255793993408
168086,6359.904053297417
168087,3143.697427286072
168088,2499.8955231570803
168089,1461.9602844982703
168090,172.12569120640003
168091,30.01893151904
168092,0.0
168093,0.0
168094,0.0
168095,0.0
168096,0.657567286336
168097,9392.767438805326
168098,6149.505776270727
168099,8556.392503995883
168100,4383.698589064235
168101,4198.434545723344
168102,7738.633129468812
168103,6015.675713312004
168104,6162.722329766664
168105,223.0321523152961
168106,460.110023672448
168107,0.0
168108,0.0
168109,0.0
168110,0.0
168111,103.771415715072
168112,5644.110554602559
168113,2622.4526519453675
168114,6689.45389768989
168115,5221.122852890531
168116,5863.681600715695
168117,8779.571858995449
168118,3319.1346339746447
168119,5494.300751579797
168120,750.4951279502026
168121,1418.6306275836048
168122,0.0
168123,0.0
168124,19.756834621888004
168125,0.0
168126,534.2828385696
168127,3280.6958272955903
168128,2668.814245638251
168129,8686.815257327004
168130,5880.306804773624
168131,13464.1327444561
168132,10327.923019266347
168133,1333.159644805274
168134,3129.2678856224024
168135,104.0219672574528
168136,2.80076948608
168137,1.90090657664
168138,70.46906096761602
168139,0.0
168140,21.446122720064
168141,1364.1964116917388
168142,4526.905850950888
168143,6401.472740577397
168144,6186.754440457054
168145,7264.84567239648
168146,9126.357773229718
168147,16481.993141076502
168148,4759.511113022532
168149,2759.576216257405
168150,528.7140111211459
168151,1828.0961606460853
168152,3546.8126407133213
168153,231.3529241522559
168154,93.74149636524804
168155,0.2475699392
168156,1316.9499707444245
168157,3872.628564592555
168158,2750.8760596344896
168159,5078.752302050996
168160,3426.497652884409
168161,7254.546495380379
168162,10190.876307722174
168163,12336.883035109387
168164,8145.165174029996
168165,5731.485550070486
168166,4798.419753626633
168167,9025.19540022867
168168,2932.57479601379
168169,233.5041992848
168170,0.84981072608
168171,28.48238330944
168172,785.051489023168
168173,325.92939857505274
168174,365.19601454732793
168175,1729.052501948633
168176,5031.261466518073
168177,4655.837239863508
168178,6921.4490521085445
168179,8153.393934408466
168180,5630.215870094284
168181,7422.386146607869
168182,8363.732413255708
168183,3783.5947182603018
168184,960.4908500462084
168185,1314.9634264966394
168186,0.0
168187,72.541651915136
168188,0.0
168189,0.0
168190,2512.2926001788155
168191,259.80388760723844
168192,914.523656794292
168193,7172.236925353681
168194,9816.15431082022
168195,7961.08874211051
168196,8824.928018795279
168197,1628.1079797301816
168198,2939.304134462014
168199,45.837897160192
168200,543.9215758876674
168201,0.0
168202,0.0
168203,0.0
168204,0.0
168205,149.43181599276798
168206,106.87344552542726
168207,1250.4568307331908
168208,2136.652360265603
168209,4743.745668648677
168210,4239.589053152205
168211,5180.615836175496
168212,3275.959932761708
168213,841.662897991443
168214,93.371971321216
168215,1026.023583256768
168216,0.0
168217,0.0
168218,0.0
168219,0.0
168220,0.0
168221,0.0
168222,4.645057894016
168223,31.35634738624
168224,1276.902960504235
168225,5339.2244885632535
168226,4997.886799820526
168227,3146.003925665725
168228,2921.9580497967763
168229,869.060472882944
168230,0.0
168231,0.0
168232,0.0
168233,0.0
168234,0.0
168235,0.0
168236,0.0
168237,0.0
168238,0.0
168239,6.60742639904
168240,13.706332946944002
168241,0.0
168242,269.3088402829439
168243,3546.291278396814
168244,278.50283435110384
168245,86.80124985664
168246,0.0
168247,0.0
168248,0.0
168249,0.0
168250,0.0
168251,0.0
168252,1000.0
168253,0.0
168254,47.272080581888005
168255,1011.43342562688
168256,1003.76844503104
168257,1.3615270264960002
168258,865.9702295544766
168259,451.8624679540288
168260,207.99319344128
