name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East Apache Boulevard,460,1070423862.0,124,10,1,96.06,2,80,1800.0,primary,3,"LINESTRING (-111.9396045 33.4159562, -111.9395362 33.4159003, -111.9394117 33.4157309, -111.9392479 33.4155522, -111.9390964 33.4154119, -111.9389443 33.4152954)",a,0,0,,
South Mill Avenue,461,1070425356.0,157,43,1,56.6,2,60,1600.0,secondary,4,"LINESTRING (-111.9399489 33.4167178, -111.9399668 33.4165668, -111.9399656 33.4164371, -111.9399810 33.4162084)",a,0,0,,
Gammage Parkway,462,1077600800.0,84,169,1,18.69,2,24,1000.0,residential,6,"LINESTRING (-111.9396414 33.4176196, -111.9397470 33.4176199, -111.9397854 33.4176201, -111.9398424 33.4176211)",a,0,0,,
East University Drive,463,1078715155.0,195,200,1,14.07,3,56,1600.0,secondary,4,"LINESTRING (-111.9285829 33.4220147, -111.9284316 33.4220121)",a,1,0,,
East University Drive,464,1078715155.0,200,195,1,14.07,3,56,1600.0,secondary,4,"LINESTRING (-111.9284316 33.4220121, -111.9285829 33.4220147)",a,1,0,,
East University Drive,465,1078715157.0,199,302,1,13.39,3,56,1600.0,secondary,4,"LINESTRING (-111.9276681 33.4220143, -111.9275241 33.4220137)",a,1,0,,
East University Drive,466,1078715157.0,302,199,1,13.39,3,56,1600.0,secondary,4,"LINESTRING (-111.9275241 33.4220137, -111.9276681 33.4220143)",a,1,0,,
East University Drive,467,1078715157.0,302,189,1,12.75,3,56,1600.0,secondary,4,"LINESTRING (-111.9275241 33.4220137, -111.9273870 33.4220144)",a,1,0,,
East University Drive,468,1078715157.0,189,302,1,12.75,3,56,1600.0,secondary,4,"LINESTRING (-111.9273870 33.4220144, -111.9275241 33.4220137)",a,1,0,,
East University Drive,469,1078715158.0,200,199,1,73.17,2,56,1600.0,secondary,4,"LINESTRING (-111.9284316 33.4220121, -111.9283093 33.4219703, -111.9282432 33.4219692, -111.9277786 33.4219666, -111.9276681 33.4220143)",a,0,0,,
South Mill Avenue,470,1084112403.0,185,95,1,8.69,3,48,1800.0,primary,3,"LINESTRING (-111.9399608 33.4294989, -111.9399630 33.4295773)",a,0,0,,
South Mill Avenue,471,1084112405.0,23,132,1,21.2,2,48,1800.0,primary,3,"LINESTRING (-111.9399672 33.4273845, -111.9399754 33.4274914, -111.9399782 33.4275271, -111.9399818 33.4275753)",a,0,0,,
East Rio Salado Parkway,472,1084112411.0,95,257,1,13.03,2,56,1600.0,secondary,4,"LINESTRING (-111.9399630 33.4295773, -111.9398459 33.4295852, -111.9398235 33.4295881)",a,0,0,,
East Rio Salado Parkway,473,1084112413.0,258,256,1,64.99,2,56,1600.0,secondary,4,"LINESTRING (-111.9387779 33.4297044, -111.9386416 33.4297545, -111.9385345 33.4298061, -111.9384801 33.4298382, -111.9381867 33.4300134)",a,0,0,,
South Mill Avenue,474,1084112468.0,171,129,1,32.45,3,48,1800.0,primary,3,"LINESTRING (-111.9399694 33.4252155, -111.9399660 33.4253948, -111.9399659 33.4255082)",a,0,0,,
South Mill Avenue,475,1084112469.0,112,176,1,28.64,1,48,1800.0,primary,3,"LINESTRING (-111.9399690 33.4243446, -111.9399704 33.4244494, -111.9399715 33.4244963, -111.9399724 33.4246029)",a,0,0,,
South Novus Place,476,1088031717.0,289,288,1,8.46,1,30,800.0,unclassified,15,"LINESTRING (-111.9275109 33.4234140, -111.9275107 33.4233377)",a,1,0,,
South Novus Place,477,1088031717.0,288,289,1,8.46,1,30,800.0,unclassified,15,"LINESTRING (-111.9275107 33.4233377, -111.9275109 33.4234140)",a,1,0,,
South Novus Place,478,1088031717.0,288,303,1,10.31,1,30,800.0,unclassified,15,"LINESTRING (-111.9275107 33.4233377, -111.9275129 33.4232447)",a,1,0,,
South Novus Place,479,1088031717.0,303,288,1,10.31,1,30,800.0,unclassified,15,"LINESTRING (-111.9275129 33.4232447, -111.9275107 33.4233377)",a,1,0,,
South Novus Place,480,1088031718.0,303,302,1,136.48,1,30,800.0,unclassified,15,"LINESTRING (-111.9275129 33.4232447, -111.9275204 33.4224709, -111.9275243 33.4221137, -111.9275241 33.4220137)",a,1,0,,
South Novus Place,481,1088031718.0,302,303,1,136.48,1,30,800.0,unclassified,15,"LINESTRING (-111.9275241 33.4220137, -111.9275243 33.4221137, -111.9275204 33.4224709, -111.9275129 33.4232447)",a,1,0,,
East University Drive,482,1088637808.0,196,304,1,32.73,4,56,1600.0,secondary,4,"LINESTRING (-111.9269657 33.4220200, -111.9266137 33.4220247)",a,1,0,,
East University Drive,483,1088637808.0,304,196,1,32.73,2,56,1600.0,secondary,4,"LINESTRING (-111.9266137 33.4220247, -111.9269657 33.4220200)",a,1,0,,
East University Drive,484,1088637809.0,304,191,1,19.22,4,56,1600.0,secondary,4,"LINESTRING (-111.9266137 33.4220247, -111.9265195 33.4220268, -111.9264070 33.4220275)",a,1,0,,
East University Drive,485,1088637809.0,191,304,1,19.22,2,56,1600.0,secondary,4,"LINESTRING (-111.9264070 33.4220275, -111.9265195 33.4220268, -111.9266137 33.4220247)",a,1,0,,
East Rio Salado Parkway,486,1108351929.0,211,305,1,16.98,2,56,1600.0,secondary,4,"LINESTRING (-111.9262820 33.4287845, -111.9261046 33.4287728, -111.9261000 33.4287725)",a,0,0,,
West 9th Street,487,1123081077.0,39,306,1,65.83,1,24,1000.0,residential,6,"LINESTRING (-111.9381320 33.4205154, -111.9382189 33.4205145, -111.9383745 33.4205132, -111.9384389 33.4205124, -111.9385794 33.4205109, -111.9388400 33.4205068)",a,1,0,,
West 9th Street,488,1123081077.0,306,39,1,65.83,1,24,1000.0,residential,6,"LINESTRING (-111.9388400 33.4205068, -111.9385794 33.4205109, -111.9384389 33.4205124, -111.9383745 33.4205132, -111.9382189 33.4205145, -111.9381320 33.4205154)",a,1,0,,
East Lemon Street,489,1123252014.0,27,301,1,210.09,1,30,1000.0,residential,6,"LINESTRING (-111.9294120 33.4166399, -111.9292821 33.4166416, -111.9289961 33.4166414, -111.9287595 33.4166413, -111.9284508 33.4166395, -111.9279495 33.4166251, -111.9275795 33.4166248, -111.9274785 33.4166304, -111.9273827 33.4166406, -111.9272923 33.4166614, -111.9271948 33.4166901, -111.9271661 33.4167019)",a,1,0,,
