name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East Alameda Drive,30,5560510,24,23,1,75.79,1,30,1000,residential,6,"LINESTRING (-111.8936780 33.4006219, -111.8940870 33.4006203, -111.8944930 33.4006187)",a,1,0,,
East Alameda Drive,31,5560510,24,25,1,154.06,1,30,1000,residential,6,"LINESTRING (-111.8936780 33.4006219, -111.8928461 33.4006251, -111.8920213 33.4006283)",a,1,0,,
East Alameda Drive,32,5560510,25,24,1,154.06,1,30,1000,residential,6,"LINESTRING (-111.8920213 33.4006283, -111.8928461 33.4006251, -111.8936780 33.4006219)",a,1,0,,
East Alameda Drive,33,5560512,26,27,1,97.85,1,30,1000,residential,6,"LINESTRING (-111.8962532 33.4002322, -111.8970390 33.4002369, -111.8973054 33.4002384)",a,1,0,,
East Alameda Drive,34,5560512,27,26,1,97.85,1,30,1000,residential,6,"LINESTRING (-111.8973054 33.4002384, -111.8970390 33.4002369, -111.8962532 33.4002322)",a,1,0,,
East Alameda Drive,35,5560512,27,28,1,225.08,1,30,1000,residential,6,"LINESTRING (-111.8973054 33.4002384, -111.8982490 33.4002384, -111.8994340 33.4002384, -111.8997258 33.4002384)",a,1,0,,
East Alameda Drive,36,5560512,28,27,1,225.08,1,30,1000,residential,6,"LINESTRING (-111.8997258 33.4002384, -111.8994340 33.4002384, -111.8982490 33.4002384, -111.8973054 33.4002384)",a,1,0,,
East Alameda Drive,37,5560512,28,29,1,75.37,1,30,1000,residential,6,"LINESTRING (-111.8997258 33.4002384, -111.9005361 33.4002251)",a,1,0,,
East Alameda Drive,38,5560512,29,28,1,75.37,1,30,1000,residential,6,"LINESTRING (-111.9005361 33.4002251, -111.8997258 33.4002384)",a,1,0,,
East Alameda Drive,39,5560512,29,30,1,59.81,1,30,1000,residential,6,"LINESTRING (-111.9005361 33.4002251, -111.9011792 33.4002337)",a,1,0,,
East Alameda Drive,40,5560512,30,29,1,59.81,1,30,1000,residential,6,"LINESTRING (-111.9011792 33.4002337, -111.9005361 33.4002251)",a,1,0,,
East Alameda Drive,41,5560512,30,31,1,93.99,1,30,1000,residential,6,"LINESTRING (-111.9011792 33.4002337, -111.9013208 33.4002356, -111.9016887 33.4002365, -111.9017857 33.4002384, -111.9021891 33.4002169)",a,1,0,,
East Alameda Drive,42,5560512,31,30,1,93.99,1,30,1000,residential,6,"LINESTRING (-111.9021891 33.4002169, -111.9017857 33.4002384, -111.9016887 33.4002365, -111.9013208 33.4002356, -111.9011792 33.4002337)",a,1,0,,
East Alameda Drive,43,5560512,31,32,1,93.78,1,30,1000,residential,6,"LINESTRING (-111.9021891 33.4002169, -111.9024464 33.4002004, -111.9027247 33.4001682, -111.9027985 33.4001596, -111.9031934 33.4001524)",a,1,0,,
East Alameda Drive,44,5560512,32,31,1,93.78,1,30,1000,residential,6,"LINESTRING (-111.9031934 33.4001524, -111.9027985 33.4001596, -111.9027247 33.4001682, -111.9024464 33.4002004, -111.9021891 33.4002169)",a,1,0,,
East Alameda Drive,45,5560512,32,33,1,87.45,1,30,1000,residential,6,"LINESTRING (-111.9031934 33.4001524, -111.9034274 33.4001497, -111.9036614 33.4001493, -111.9041338 33.4001515)",a,1,0,,
East Alameda Drive,46,5560512,33,32,1,87.45,1,30,1000,residential,6,"LINESTRING (-111.9041338 33.4001515, -111.9036614 33.4001493, -111.9034274 33.4001497, -111.9031934 33.4001524)",a,1,0,,
East Alameda Drive,47,5560512,33,34,1,203.42,1,30,1000,residential,6,"LINESTRING (-111.9041338 33.4001515, -111.9051044 33.4001529, -111.9057799 33.4001506, -111.9063213 33.4001518)",a,1,0,,
East Alameda Drive,48,5560512,34,33,1,203.42,1,30,1000,residential,6,"LINESTRING (-111.9063213 33.4001518, -111.9057799 33.4001506, -111.9051044 33.4001529, -111.9041338 33.4001515)",a,1,0,,
East Alameda Drive,49,5560512,34,35,1,98.68,1,30,1000,residential,6,"LINESTRING (-111.9063213 33.4001518, -111.9065830 33.4001524, -111.9068430 33.4001524, -111.9073825 33.4001524)",a,1,0,,
East Alameda Drive,50,5560512,35,34,1,98.68,1,30,1000,residential,6,"LINESTRING (-111.9073825 33.4001524, -111.9068430 33.4001524, -111.9065830 33.4001524, -111.9063213 33.4001518)",a,1,0,,
East Alameda Drive,51,5560512,35,36,1,99.98,1,30,1000,residential,6,"LINESTRING (-111.9073825 33.4001524, -111.9079163 33.4001524, -111.9081370 33.4001524, -111.9084576 33.4001480)",a,1,0,,
East Alameda Drive,52,5560512,36,35,1,99.98,1,30,1000,residential,6,"LINESTRING (-111.9084576 33.4001480, -111.9081370 33.4001524, -111.9079163 33.4001524, -111.9073825 33.4001524)",a,1,0,,
East Alameda Drive,53,5560512,36,37,1,62.81,1,30,1000,residential,6,"LINESTRING (-111.9084576 33.4001480, -111.9089995 33.4001481, -111.9091330 33.4001487)",a,1,0,,
East Alameda Drive,54,5560512,37,36,1,62.81,1,30,1000,residential,6,"LINESTRING (-111.9091330 33.4001487, -111.9089995 33.4001481, -111.9084576 33.4001480)",a,1,0,,
East Alameda Drive,55,5560512,37,38,1,50.31,1,30,1000,residential,6,"LINESTRING (-111.9091330 33.4001487, -111.9092883 33.4001502, -111.9096740 33.4001470)",a,1,0,,
East Alameda Drive,56,5560512,38,37,1,50.31,1,30,1000,residential,6,"LINESTRING (-111.9096740 33.4001470, -111.9092883 33.4001502, -111.9091330 33.4001487)",a,1,0,,
East Alameda Drive,57,5560512,38,39,1,98.19,1,30,1000,residential,6,"LINESTRING (-111.9096740 33.4001470, -111.9097451 33.4001448, -111.9098188 33.4001398, -111.9099127 33.4001273, -111.9100005 33.4001118, -111.9100857 33.4000927, -111.9101709 33.4000687, -111.9102607 33.4000386, -111.9106696 33.3998786)",a,1,0,,
East Alameda Drive,58,5560512,39,38,1,98.19,1,30,1000,residential,6,"LINESTRING (-111.9106696 33.3998786, -111.9102607 33.4000386, -111.9101709 33.4000687, -111.9100857 33.4000927, -111.9100005 33.4001118, -111.9099127 33.4001273, -111.9098188 33.4001398, -111.9097451 33.4001448, -111.9096740 33.4001470)",a,1,0,,
East Alameda Drive,59,5560512,39,40,1,93.67,1,30,1000,residential,6,"LINESTRING (-111.9106696 33.3998786, -111.9108153 33.3998229, -111.9109453 33.3997776, -111.9110816 33.3997329, -111.9116133 33.3995853)",a,1,0,,
East Alameda Drive,60,5560512,40,39,1,93.67,1,30,1000,residential,6,"LINESTRING (-111.9116133 33.3995853, -111.9110816 33.3997329, -111.9109453 33.3997776, -111.9108153 33.3998229, -111.9106696 33.3998786)",a,1,0,,
East Alameda Drive,61,5560512,40,41,1,109.53,1,30,1000,residential,6,"LINESTRING (-111.9116133 33.3995853, -111.9127316 33.3992751)",a,1,0,,
