name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3472,42310971,,,,,,,-111.8974838,33.3726322,,,
,3473,42310975,turning_circle,,,,,,-111.8946428,33.3724602,,,
,3474,339038526,,,,,,,-111.9276825,33.399013,,,
,3475,41573952,,,,,,,-111.9263177,33.3985665,,,
,3476,42208612,,,,,,,-111.9163348,33.3983419,,,
,3477,42312545,,,,,,,-111.9118344,33.3987125,,,
,3478,9093674905,,,,,,,-111.9095494,33.3983579,,,
,3479,42312560,turning_circle,,,,,,-111.9114014,33.3982539,,,
,3480,41606266,,,,,,,-111.9243052,33.358152,,,
,3481,42315728,turning_circle,,,,,,-111.9238846,33.358152,,,
,3482,42315831,turning_circle,,,,,,-111.9003865,33.3580156,,,
,3483,42315868,,,,,,,-111.9032618,33.3583382,,,
,3484,2263218333,,,,,,,-111.9042032,33.3580846,,,
,3485,2263218326,,,,,,,-111.9053857,33.3580064,,,
,3486,2263218327,,,,,,,-111.9064362,33.3580084,,,
,3487,41941481,,,,,,,-111.9198849,33.3582882,,,
,3488,41638598,,,,,,,-111.9112385,33.3589597,,,
,3489,42316563,,,,,,,-111.9564434,33.3815433,,,
,3490,42316566,,,,,,,-111.9555371,33.3815345,,,
,3491,42316579,turning_circle,,,,,,-111.9529106,33.3817352,,,
,3492,8912567781,,,,,,,-111.9741227,33.3825423,,,
,3493,42323086,,,,,,,-111.964585,33.3580464,,,
,3494,42323089,turning_circle,,,,,,-111.9645896,33.3590673,,,
,3495,41662598,,,,,,,-111.939981,33.4162084,,,
,3496,41533544,,,,,,,-111.941205,33.416204,,,
,3497,41520539,,,,,,,-111.9442403,33.4160678,,,
,3498,42325425,,,,,,,-111.947269,33.4160765,,,
,3499,317437509,,,,,,,-111.9521905,33.4160147,,,
,3500,42325452,,,,,,,-111.9778702,33.4158724,,,
,3501,41884212,,,,,,,-111.9608421,33.4161359,,,
,3502,42333303,turning_circle,,,,,,-111.9567452,33.3221046,,,
,3503,41832843,turning_circle,,,,,,-111.9621701,33.3242398,,,
,3504,41832839,turning_circle,,,,,,-111.9621697,33.3223341,,,
,3505,41621118,traffic_signals,,signal,,,,-111.9306927,33.4584156,,,
,3506,41701110,,,,,,,-111.9307019,33.4569716,,,
,3507,42210521,,,,,,,-111.9307259,33.4562429,,,
,3508,41913461,,,,,,,-111.930751,33.4555349,,,
,3509,1387060396,,,,,,,-111.930095,33.4453216,,,
,3510,1387060420,,,,,,,-111.9294545,33.4447409,,,
,3511,42269012,,,,,,,-111.9290812,33.4437341,,,
,3512,6581270716,,,,,,,-111.9303732,33.447709,,,
,3513,42341619,,,,,,,-111.9330689,33.4458791,,,
,3514,42341636,,,,,,,-111.934354,33.4493194,,,
,3515,42341651,turning_circle,,,,,,-111.9345055,33.4472301,,,
,3516,41714369,,,,,,,-111.9054664,33.422026,,,
,3517,42341667,turning_circle,,,,,,-111.9054634,33.4209448,,,
,3518,42002042,,,,,,,-111.9545556,33.3641049,,,
,3519,42342341,,,,,,,-111.9551514,33.3640768,,,
,3520,42342350,turning_circle,,,,,,-111.9513118,33.3642256,,,
,3521,42343803,,,,,,,-111.9027573,33.3550663,,,
,3522,42343839,,,,,,,-111.906345,33.3553244,,,
,3523,42343941,turning_circle,,,,,,-111.9107309,33.3551237,,,
,3524,42343956,turning_circle,,,,,,-111.929222,33.3548899,,,
,3525,42347040,,,,,,,-111.953888,33.4086601,,,
,3526,42347044,,,,,,,-111.955129,33.4085305,,,
,3527,3884382386,,,,,,,-111.9568087,33.4086357,,,
,3528,42347046,,,,,,,-111.9478561,33.4087626,,,
,3529,42347048,,,,,,,-111.9478535,33.4082896,,,
,3530,4176960313,,,,,,,-111.9521233,33.4083015,,,
,3531,4176960312,,,,,,,-111.9522008,33.4082888,,,
,3532,42347369,turning_circle,,,,,,-111.9528849,33.3824949,,,
,3533,330683972,,,,,,,-111.9171222,33.414605,,,
,3534,42254473,,,,,,,-111.9171232,33.4136285,,,
,3535,42348101,,,,,,,-111.9169744,33.4127275,,,
,3536,42351096,turning_circle,,,,,,-111.9406226,33.3377701,,,
,3537,338075809,,,,,,,-111.8944543,33.4184083,,,
,3538,42351255,,,,,,,-111.8930185,33.4184262,,,
,3539,338074539,,,,,,,-111.8927722,33.4184258,,,
,3540,3519328472,,,,,,,-111.8920652,33.4184211,,,
,3541,41969461,,,,,,,-111.8919716,33.4184206,,,
,3542,42353451,,,,,,,-111.89466,33.3754707,,,
,3543,41969637,,,,,,,-111.8940112,33.3754606,,,
,3544,41625890,,,,,,,-111.9351334,33.4539734,,,
,3545,42354968,,,,,,,-111.9128361,33.381664,,,
,3546,42354971,,,,,,,-111.9127401,33.3813718,,,
,3547,42354977,,,,,,,-111.912677,33.3801638,,,
,3548,42354986,,,,,,,-111.9149928,33.3695308,,,
,3549,42354992,,,,,,,-111.9149954,33.3670027,,,
,3550,41501582,,,,,,,-111.9150011,33.3637652,,,
,3551,42355032,,,,,,,-111.9152943,33.3610941,,,
,3552,42355044,turning_circle,,,,,,-111.9127313,33.3848005,,,
,3553,42355050,turning_circle,,,,,,-111.9127399,33.3833743,,,
,3554,42355069,,,,,,,-111.9156564,33.3518379,,,
,3555,8703186592,,,,,,,-111.915526,33.349195,,,
,3556,3940122122,,,,,,,-111.9155285,33.3490676,,,
,3557,42355115,turning_circle,,,,,,-111.9110209,33.4022002,,,
,3558,42355126,turning_circle,,,,,,-111.9122722,33.3977686,,,
,3559,42355130,,,,,,,-111.9122589,33.3967275,,,
,3560,42355139,,,,,,,-111.9125606,33.3873545,,,
,3561,42355141,turning_circle,,,,,,-111.912566,33.386602,,,
,3562,42355152,,,,,,,-111.9127235,33.3904939,,,
,3563,337896521,turning_circle,,,,,,-111.9127404,33.3896663,,,
,3564,317675675,turning_circle,,,,,,-111.916035,33.345709,,,
,3565,41656855,,,,,,,-111.9158665,33.3444921,,,
,3566,42358472,,,,,,,-111.9570391,33.3821724,,,
,3567,42358480,,,,,,,-111.9588158,33.3821687,,,
,3568,42358490,,,,,,,-111.9605152,33.3821652,,,
,3569,42358860,,,,,,,-111.949482,33.3704962,,,
,3570,939766460,turning_circle,,,,,,-111.9570086,33.3705459,,,
,3571,42001986,,,,,,,-111.9545864,33.3700442,,,
,3572,41800245,,,,,,,-111.9289334,33.4202593,,,
,3573,5414658105,,,,,,,-111.9278824,33.4202775,,,
,3574,315890363,,,,,,,-111.9357209,33.3327945,,,
,3575,320625571,,,,,,,-111.9784579,33.4102213,,,
,3576,256195429,motorway_junction,,,,,,-111.9781122,33.4270813,,,
