name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,20965,298299299,traffic_signals,,1,,,,-82.4015541,27.9704439,,163
,20968,298510595,,,0,,,,-85.1878754,30.7487814,,
,20969,298510596,,,0,,,,-85.1886397,30.7496119,,
,20970,298543395,,,0,,,,-84.7043629,30.5731194,,
,20972,298543397,,,0,,,,-84.6957987,30.583271,,
,20977,298586033,,,0,,,,-84.4248805,30.4883125,,
,20986,298720576,,,0,,,,-83.8892542,30.476209,,
,20992,298770360,,,0,,,,-82.9629908,30.3300056,,
,20995,298770401,,,0,,,,-82.9621069,30.3312083,,
,21007,298770671,,,0,,,,-83.0925709,30.3443634,,
,21015,298804375,,,0,,,,-82.6738238,30.2439005,,
,21021,298804519,,,0,,,,-82.6739048,30.2440126,,
,21026,298804628,,,0,,,,-82.675806,30.2467029,,
,21028,298804714,,,0,,,,-82.6757462,30.2466256,,
,21031,299023177,,,0,,,,-82.402172,27.967007,,
,21036,299140738,,,0,,,,-85.684897,30.7552871,,
,21039,299142411,,,0,,,,-85.6848412,30.7635351,,
,21041,299142848,,,0,,,,-85.6848505,30.7619134,,
,21075,299335447,,,0,,,,-82.6383734,30.2426108,,
,21083,299336917,,,0,,,,-82.6385404,30.240666,,
,21085,300323799,,,0,,,,-82.6369316,27.8643139,,
,21093,302700713,,,0,,,,-82.338426,27.8943301,,
,21094,303887074,traffic_signals,,1,,,,-82.3485822,27.9154365,,
,21095,305948617,,,0,,,,-82.4018202,27.9668492,,
,21096,307790118,traffic_signals,,1,,,,-82.5845952,28.8921319,,
,21097,307796139,,,0,,,,-82.5856335,28.8982711,,
,21098,308518480,,,0,,,,-82.4511736,27.9787775,,
,21099,308518518,,,0,,,,-82.4496308,27.9814963,,
